,tournament_name,tournament_date,tournament_prize_pool,tournament_location_country,tournament_number_of_teams,tournament_winner_team,tournament_runner_team
0,VALORANT Champions 2024,"Aug 1 - 25, 2024","$2,250,000",South Korea,16,EDward Gaming,Team Heretics
1,VCT 2024: Pacific Stage 2,"Jun 15 - Jul 21, 2024","$250,000",South Korea,11,Gen.G Esports,DRX
2,VCT 2024: Americas Stage 2,"Jun 22 - Jul 21, 2024","$250,000",United States,11,Leviatn,G2 Esports
3,VCT 2024: EMEA Stage 2,"Jun 18 - Jul 20, 2024","$250,000",Germany,11,Fnatic,Team Vitality
4,VCT 2024: Masters Shanghai,"May 23 - Jun 9, 2024","$1,000,000",China,12,Gen.G Esports,Team Heretics
5,VCT 2024: Masters Madrid,"Mar 14 - 24, 2024","$500,000",Spain,8,Sentinels,Gen.G Esports
6,VCT 2023: Game Changers Championship,"Nov 28 - Dec 3, 2023","$500,000",Brazil,8,Shopify Rebellion,Team Liquid Brazil
7,VALORANT Champions 2023,"Aug 6 - 26, 2023","$2,250,000",United States,16,Evil Geniuses,Paper Rex
8,VCT 2023: Masters Tokyo,"Jun 11 - 25, 2023","$1,000,000",Japan,12,Fnatic,Evil Geniuses
9,VCT 2023: EMEA League,"Mar 27 - May 28, 2023","$250,000",Germany,10,Team Liquid,Fnatic
10,VCT 2023: Pacific League,"Mar 25 - May 28, 2023","$250,000",South Korea,10,Paper Rex,DRX
11,VCT 2023: Americas League,"Apr 1 - May 28, 2023","$250,000",United States,10,LOUD,NRG
12,VCT 2023: LOCK//IN So Paulo,"Feb 13 - Mar 4, 2023","$500,000",Brazil,32,Fnatic,LOUD
13,VCT 2022: Game Changers Championship,"Nov 15 - 20, 2022","$500,000",Germany,8,G2 Gozen,Shopify Rebellion GC
14,VALORANT Champions 2022,"Aug 31 - Sep 18, 2022","$1,000,000",Turkey,16,LOUD,OpTic Gaming
15,VCT 2022: Stage 2 Masters - Copenhagen,"Jul 10 - 24, 2022","$650,000",Denmark,12,FunPlus Phoenix,Paper Rex
16,VCT 2022: Stage 1 Masters - Reykjavk,"Apr 10 - 24, 2022","$675,000",Iceland,12,OpTic Gaming,LOUD
17,VALORANT Champions 2021,"Dec 1 - 12, 2021","$1,000,000",Germany,16,Acend,Gambit Esports
18,VCT 2021: Stage 3 Masters - Berlin,"Sep 10 - 19, 2021","$700,000",Germany,15,Gambit Esports,Team Envy
19,VCT 2021: Stage 2 Masters - Reykjavk,"May 24 - 30, 2021","$600,000",Iceland,10,Sentinels,Fnatic
